,Dataset,Algorithm,Param No.,Corruption,Denoiser,Raw_accu,Denoisy_accu,Improved
0,SpeechCommandsV2,AMAuT,103072070,WHN-L1,DNS64,0.7750113584734212,0.8141753748296229,0.0391640163562017
1,SpeechCommandsV2,AMAuT,103072070,WHN-L2,DNS64,0.7584734211721944,0.8099045888232621,0.0514311676510677
2,SpeechCommandsV2,AMAuT,103072070,ENQ-L1,DNS64,0.8451612903225807,0.8675147660154475,0.02235347569286683
3,SpeechCommandsV2,AMAuT,103072070,ENQ-L2,DNS64,0.8568832348932304,0.8656065424806906,0.008723307587460205
4,SpeechCommandsV2,AMAuT,103072070,END1-L1,DNS64,0.9037710131758292,0.8983189459336666,-0.005452067242162628
5,SpeechCommandsV2,AMAuT,103072070,END1-L2,DNS64,0.9077691958200818,0.902044525215811,-0.005724670604270732
6,SpeechCommandsV2,AMAuT,103072070,END2-L1,DNS64,0.9083144025442981,0.9004997728305316,-0.007814629713766452
7,SpeechCommandsV2,AMAuT,103072070,END2-L2,DNS64,0.902044525215811,0.8952294411631077,-0.0068150840527033685
8,SpeechCommandsV2,AMAuT,103072070,ENSC-L1,DNS64,0.7435711040436166,0.8009086778736938,0.057337573830077204
9,SpeechCommandsV2,AMAuT,103072070,ENSC-L2,DNS64,0.749204906860518,0.8081781008632439,0.05897319400272594
10,SpeechCommandsV2,AMAuT,103072070,PSH-L1,DNS64,0.7394820536119946,0.6190822353475692,-0.12039981826442536
11,SpeechCommandsV2,AMAuT,103072070,PSH-L2,DNS64,0.5855520218082689,0.45561108587005905,-0.12994093593820988
12,SpeechCommandsV2,AMAuT,103072070,TST-L1,DNS64,0.8871422080872331,0.5250340754202635,-0.3621081326669696
13,SpeechCommandsV2,AMAuT,103072070,TST-L2,DNS64,0.8742389822807815,0.5400272603362108,-0.3342117219445706
